# Section	Page	Header	Code	Old	New
Supplemental	Alias	language	no-reason	legacy	▷removed◁
Supplemental	Grammar	Case	nominal-lt	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-lt	▷missing◁	vocative
Supplemental	Grammar	Case	nominal-lv	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-lv	▷missing◁	dative
Supplemental	Grammar	Case	nominal-lv	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-lv	▷missing◁	locative
Supplemental	Grammar	Case	nominal-lv	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-lv	▷missing◁	vocative
Supplemental	Grammar	Case	nominal-no	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-no	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-si	▷missing◁	ablative
Supplemental	Grammar	Case	nominal-si	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-si	▷missing◁	dative
Supplemental	Grammar	Case	nominal-si	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-si	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-sl	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-sl	▷missing◁	dative
Supplemental	Grammar	Case	nominal-sl	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-sl	▷missing◁	instrumental
Supplemental	Grammar	Case	nominal-sl	▷missing◁	locative
Supplemental	Grammar	Case	nominal-sl	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-sr	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-sr	▷missing◁	dative
Supplemental	Grammar	Case	nominal-sr	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-sr	▷missing◁	instrumental
Supplemental	Grammar	Case	nominal-sr	▷missing◁	locative
Supplemental	Grammar	Case	nominal-sr	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-sr	▷missing◁	vocative
Supplemental	Grammar	Case	nominal-uk	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-uk	▷missing◁	dative
Supplemental	Grammar	Case	nominal-uk	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-uk	▷missing◁	instrumental
Supplemental	Grammar	Case	nominal-uk	▷missing◁	locative
Supplemental	Grammar	Case	nominal-uk	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-uk	▷missing◁	vocative
Supplemental	Grammar	Case	nominal-uz	▷missing◁	ablative
Supplemental	Grammar	Case	nominal-uz	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-uz	▷missing◁	dative
Supplemental	Grammar	Case	nominal-uz	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-uz	▷missing◁	locative
Supplemental	Grammar	Case	nominal-uz	▷missing◁	nominative
Supplemental	Grammar	Gender	nominal-no-units	▷missing◁	masculine
Supplemental	Grammar	Gender	nominal-no-units	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-am	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-am	▷missing◁	masculine
Supplemental	Grammar	Gender	nominal-ca	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-ca	▷missing◁	masculine
Supplemental	Grammar	Gender	nominal-el	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-el	▷missing◁	masculine
Supplemental	Grammar	Gender	nominal-el	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-hr	▷missing◁	animate
Supplemental	Grammar	Gender	nominal-hr	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-hr	▷missing◁	inanimate
Supplemental	Grammar	Gender	nominal-hr	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-is	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-is	▷missing◁	masculine
Supplemental	Grammar	Gender	nominal-is	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-lt	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-lt	▷missing◁	masculine
Supplemental	Grammar	Gender	nominal-lv	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-lv	▷missing◁	masculine
Supplemental	Grammar	Gender	nominal-no	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-no	▷missing◁	masculine
Supplemental	Grammar	Gender	nominal-no	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-si	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-si	▷missing◁	masculine
Supplemental	Grammar	Gender	nominal-si	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-sl	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-sl	▷missing◁	masculine
Supplemental	Grammar	Gender	nominal-sl	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-sr	▷missing◁	animate
Supplemental	Grammar	Gender	nominal-sr	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-sr	▷missing◁	inanimate
Supplemental	Grammar	Gender	nominal-sr	▷missing◁	neuter
Supplemental	Grammar	Gender	nominal-uk	▷missing◁	feminine
Supplemental	Grammar	Gender	nominal-uk	▷missing◁	masculine
Supplemental	Grammar	Gender	nominal-uk	▷missing◁	neuter
Supplemental	Grammar	Definiteness	nominal-am	▷missing◁	definite
Supplemental	Grammar	Definiteness	nominal-am	▷missing◁	indefinite
Supplemental	Grammar	Definiteness	nominal-fa	▷missing◁	construct
Supplemental	Grammar	Definiteness	nominal-fa	▷missing◁	definite
Supplemental	Grammar	Definiteness	nominal-fa	▷missing◁	indefinite
Supplemental	Grammar	Definiteness	nominal-is	▷missing◁	definite
Supplemental	Grammar	Definiteness	nominal-is	▷missing◁	indefinite
Supplemental	Grammar	Definiteness	nominal-no	▷missing◁	definite
Supplemental	Grammar	Definiteness	nominal-no	▷missing◁	indefinite
Supplemental	Grammar	Definiteness	nominal-si	▷missing◁	definite
Supplemental	Grammar	Definiteness	nominal-si	▷missing◁	indefinite
Supplemental	Metazone	Africa/Juba	2000-01-15 10:00-2021-01-31 21:00	▷missing◁	Africa_Eastern
Supplemental	Metazone	Africa/Juba	2000-01-15 10:00..∞	Africa_Eastern	▷removed◁
Supplemental	Metazone	Africa/Juba	2021-01-31 21:00..∞	▷missing◁	Africa_Central
Supplemental	Metazone	America/Grand_Turk	2015-03-08 07:00-2018-03-11 07:00	▷missing◁	Atlantic
Supplemental	Metazone	America/Grand_Turk	2015-11-01 06:00-2018-03-11 07:00	Atlantic	▷removed◁
Supplemental	Metazone	America/Grand_Turk	-∞..2015-03-08 07:00	▷missing◁	America_Eastern
Supplemental	Metazone	America/Grand_Turk	-∞..2015-11-01 06:00	America_Eastern	▷removed◁
Supplemental	Metazone	Europe/Volgograd	1992-03-28 22:00-2018-10-27 23:00	Moscow	▷removed◁
Supplemental	Metazone	Europe/Volgograd	2018-10-27 23:00..∞	Volgograd	▷removed◁
Supplemental	Metazone	Europe/Volgograd	-∞..1992-03-28 22:00	Volgograd	▷removed◁
Supplemental	Metazone	Europe/Volgograd	-∞..∞	▷missing◁	Volgograd
Supplemental	Plural	ordinal-no	other	▷missing◁	@integer 0~15, 100, 1000, 10000, 100000, 1000000, …
Supplemental	PluralRange	no	one–other	▷missing◁	other
Supplemental	PluralRange	no	other–one	▷missing◁	other
Supplemental	PluralRange	no	other–other	▷missing◁	other
Supplemental	WeekData	weekOfPreference	nb	▷missing◁	weekOfInterval
Supplemental	WeekData	weekOfPreference	nb	▷missing◁	weekOfMonth
Supplemental	WeekData	weekOfPreference	nb	▷missing◁	weekOfYear
Supplemental	Language	no	scripts	▷missing◁	Latn
Supplemental	Language	no	territories	▷missing◁	NO
Supplemental	Language	no	territories	▷missing◁	SJ
Supplemental	DayPeriod	no	afternoon1-before	▷missing◁	18:00
Supplemental	DayPeriod	no	afternoon1-from	▷missing◁	12:00
Supplemental	DayPeriod	no	evening1-before	▷missing◁	24:00
Supplemental	DayPeriod	no	evening1-from	▷missing◁	18:00
Supplemental	DayPeriod	no	midnight-at	▷missing◁	00:00
Supplemental	DayPeriod	no	morning1-before	▷missing◁	10:00
Supplemental	DayPeriod	no	morning1-from	▷missing◁	06:00
Supplemental	DayPeriod	no	morning2-before	▷missing◁	12:00
Supplemental	DayPeriod	no	morning2-from	▷missing◁	10:00
Supplemental	DayPeriod	no	night1-before	▷missing◁	06:00
Supplemental	DayPeriod	no	night1-from	▷missing◁	00:00
Supplemental	DayPeriod	ru	evening1-before	…	22:00
Supplemental	DayPeriod	ru	night1-from	…	22:00
Supplemental	DayPeriod	selection-no	afternoon1-before	▷missing◁	18:00
Supplemental	DayPeriod	selection-no	afternoon1-from	▷missing◁	12:00
Supplemental	DayPeriod	selection-no	evening1-before	▷missing◁	24:00
Supplemental	DayPeriod	selection-no	evening1-from	▷missing◁	18:00
Supplemental	DayPeriod	selection-no	morning1-before	▷missing◁	10:00
Supplemental	DayPeriod	selection-no	morning1-from	▷missing◁	06:00
Supplemental	DayPeriod	selection-no	morning2-before	▷missing◁	12:00
Supplemental	DayPeriod	selection-no	morning2-from	▷missing◁	10:00
Supplemental	DayPeriod	selection-no	night1-before	▷missing◁	06:00
Supplemental	DayPeriod	selection-no	night1-from	▷missing◁	00:00
Supplemental	DayPeriod	selection-ru	evening1-before	…	22:00
Supplemental	DayPeriod	selection-ru	night1-from	…	22:00
